,Unnamed: 0,PRIMARY_MAGNITUDE,FOCAL_DEPTH,COUNTRY,LATITUDE,REGION,LONGITUDE,DISTANCE
246,246,4.4,30,SPAIN,36.37,0,-6.98,59.6277
125,125,4.5,33,USA,19.1,0,-155,24.8598
180,180,4.6,7,ITALY,44.08,1,8,-13.7355
198,198,5.1,7,RUSSIA,43.84,0,39.34,2.90486
290,290,5.1,23,JAPAN,37.447,0,137.865,38.1504
310,310,5.3,11,ITALY,37.3,0,15.438,15.4914
394,394,5.3,27,JORDAN,31.675,0,35.551,3.16809
591,591,5.3,33,PHILIPPINES,20.6,0,122,12.6724
273,273,5.4,29,GREECE,38.396,1,22.094,-0.507286
298,298,5.4,53,PHILIPPINES,18.606,1,121.013,-0.240818
205,205,5.5,29,RUSSIA,46.7,0,141.4,31.74
275,275,5.5,41,JAPAN,31.448,0,140.036,110.781
586,586,5.5,33,INDONESIA,-3.7,0,119.3,16.4373
313,313,5.7,39,RUSSIA,48.268,0,154.328,56.3515
357,357,5.7,33,JAPAN,31.555,0,139.931,101.692
388,388,5.7,8,ALGERIA,36.939,0,3.578,13.7352
568,568,5.7,33,RUSSIA,56,0,162.5,19.4347
611,611,5.7,33,JAPAN,31.594,0,140.167,103.189
45,45,5.8,33,TAIWAN,23.2,0,121.6,16.8147
606,606,5.8,12,GUADELOUPE (FRENCH TERRITORY),15.775,0,-61.744,12.6727
116,116,5.9,150,RUSSIA,54.6,0,163.5,88.6107
267,267,5.9,26,JAPAN,40.249,0,138.948,70.4988
25,25,6,33,JAPAN,39,0,143,94.1797
59,59,6,27,UKRAINE,44.4,0,34.4,16.9795
92,92,6,60,JAPAN,37,0,141.5,45.4248
195,195,6,29,USA,57.5,1,-153.9,-0.586128
208,208,6,21,RUSSIA,46.4,0,141.1,13.1644
556,556,6,29,GREECE,38,1,23,-3.8602
560,560,6,33,INDONESIA,-5.6,0,105.3,2.43812
130,130,6.1,30,JAPAN,38.9,0,142.2,31.9393
332,332,6.1,17,INDONESIA,-10.341,0,113.369,200.749
373,373,6.1,10,JAPAN,34.221,1,139.131,-0.90984
374,374,6.1,10,JAPAN,34.319,0,139.26,3.47946
378,378,6.1,20,CANADA,52.63,0,-132.2,11.3559
392,392,6.1,10,NEW CALEDONIA,-22.107,0,169.35,71.1595
500,500,6.1,10,USA,58.358,0,-137.13,4.92964
529,529,6.1,5,ITALY,43.4,1,10.6,-11.1088
579,579,6.1,33,CROATIA,43.3,1,17.1,-5.0564
587,587,6.1,100,INDONESIA,5.5,0,97.3,32.9618
207,207,6.2,16,RUSSIA,46.3,0,140.9,23.3072
254,254,6.2,15,JAPAN,34.808,0,139.181,8.41475
365,365,6.2,10,JAPAN,31.959,0,141.878,203.622
422,422,6.2,5,RUSSIA,47.116,0,141.798,20.9638
524,524,6.2,33,UK,51.019,0,1.309,9.45916
30,30,6.3,33,JAPAN,40.5,0,142.5,63.3962
132,132,6.3,20,JAPAN,44.3,0,144.1,19.1225
165,165,6.3,40,JAPAN,40.4,0,138.9,79.6144
311,311,6.3,10,TAIWAN,23.722,0,121.627,6.90626
322,322,6.3,11,JAPAN,37.634,0,137.245,9.76236
325,325,6.3,13,JAPAN,41.985,0,139.839,19.0841
399,399,6.3,14,GUADELOUPE (FRENCH TERRITORY),15.679,0,-61.706,21.768
476,476,6.3,11,VANUATU,-18.972,0,168.741,26.7279
583,583,6.3,18,GREECE,39.4,0,24,4.46321
61,61,6.4,20,JAPAN,34.2,0,142,184.289
148,148,6.4,20,JAPAN,36,0,141.9,98.6217
176,176,6.4,30,PAPUA NEW GUINEA,-4.4,0,152.5,13.0684
247,247,6.4,10,JAPAN,40.232,0,143.703,151.249
263,263,6.4,22,JAPAN,33.826,0,139.434,15.3422
280,280,6.4,13,GUADELOUPE (FRENCH TERRITORY),17.013,0,-62.448,13.9654
306,306,6.4,14,JAPAN,34.706,0,139.252,9.18605
329,329,6.4,13,JAPAN,40.608,0,143.683,149.777
442,442,6.4,40,JAPAN,34.743,0,138.264,2.50309
504,504,6.4,10,VANUATU,-16.431,0,168.148,5.79086
544,544,6.4,33,PHILIPPINES,18,0,119.5,96.7646
547,547,6.4,33,PHILIPPINES,6,1,125,-11.4577
594,594,6.4,29,GREECE,38.209,1,23.288,-9.74001
598,598,6.4,10,WALLIS AND FUTUNA (FRENCH TERRITORY),-14.385,0,-178.252,13.974
605,605,6.4,33,JAPAN,23.346,0,124.09,83.4401
70,70,6.5,33,PAPUA NEW GUINEA,-1.3,0,144.3,4.34108
96,96,6.5,16,PORTUGAL,37.053,0,-24.427,54.2204
114,114,6.5,15,GREECE,38.532,0,20.427,10.7455
149,149,6.5,20,JAPAN,36.2,0,141.9,107.543
169,169,6.5,40,USA,53.03,0,-167.55,25.5902
175,175,6.5,10,VENEZUELA,10.6,0,-67.3,8.0644
190,190,6.5,41,JAPAN,32.2,0,132.1,44.3231
304,304,6.5,10,JAPAN,39.571,0,143.333,109.16
309,309,6.5,10,JAPAN,33.267,0,138.643,95.7137
375,375,6.5,10,JAPAN,33.901,0,139.376,18.3488
384,384,6.5,21,INDIA,13.036,0,93.068,4.128
431,431,6.5,25,INDONESIA,-2.486,0,99.972,3.39683
459,459,6.5,24,VANUATU,-19.157,0,168.311,76.2965
486,486,6.5,17,NEW ZEALAND,-41.704,0,174.337,5.88961
487,487,6.5,10,NEW ZEALAND,-41.767,1,174.061,-12.859
499,499,6.5,11,JAPAN,37.04,0,142.425,126.535
530,530,6.5,150,INDONESIA,-6.5,0,105.5,14.0749
574,574,6.5,33,PAPUA NEW GUINEA,-6.9,0,155.7,2.13943
590,590,6.5,44,RUSSIA,43,1,47.1,-452.055
95,95,6.6,20,JAPAN,32.3,0,132,33.5164
150,150,6.6,80,RUSSIA,43.2,0,147.9,103.996
152,152,6.6,60,JAPAN,29.6,0,131.8,117.313
187,187,6.6,38,TURKEY,41.8,0,32.3,7.3127
206,206,6.6,6,RUSSIA,46.4,0,141.1,13.1644
241,241,6.6,33,RUSSIA,44.14,0,149.029,126.108
270,270,6.6,29,PHILIPPINES,18.231,1,120.86,-30.77
305,305,6.6,26,PHILIPPINES,9.755,0,124.694,11.9581
331,331,6.6,26,INDONESIA,-10.362,0,112.892,212.53
360,360,6.6,10,JAPAN,30.568,0,131.093,5.04503
397,397,6.6,10,CANADA,49.277,0,-128.772,113.569
404,404,6.6,28,JAPAN,34.064,0,141.491,161.496
421,421,6.6,10,JAPAN,37.57,0,138.478,17.4894
447,447,6.6,26,SOLOMON ISLANDS,-8.743,1,157.477,-0.560606
