MAGNITUDE,DEPTH,REGION,DISTANCE,CLASS
7,33,1,-16.9338,1
6,10,1,-1.2939,1
7.8,12,1,-0.0849733,1
7.1,33,1,-0.627135,1
6.1,6,1,-2.06876,1
7.6,35,1,-1.49389,1
6.8,33,1,-3.18453,1
6.5,10,1,-12.859,1
7.2,33,1,-17.5834,1
7.7,35,1,-78.7315,1
7.1,36,1,-8.3124,1
9.5,33,1,-3.15413,1
8.2,35,1,-23.6638,1
7.6,60,1,-34.7133,1
8.3,60,1,-50.0014,1
7.6,25,1,-18.2447,1
6.9,11,1,-7.39299,1
8,33,1,-1.59329,1
7.8,58,1,-23.2255,1
6,58,1,-24.2118,1
5.4,60,1,-63.028,1
6.7,20,1,-7.90884,1
5.9,35,1,-16.1742,1
8.7,35,1,-46.2504,1
6,33,1,-15.948,1
7.4,100,1,-29.2758,1
7.7,15,1,-10.9111,1
7.9,60,1,-19.1131,1
7,36,1,-2.58303,1
7.2,37,1,-13.4209,1
7.3,60,1,-57.6989,1
7.6,62,1,-36.6786,1
8,46,1,-22.3568,1
7,100,1,-129.608,1
7.7,40,1,-34.1511,1
7.5,33,1,-62.1882,1
6,33,1,-32.0309,1
7.6,40,1,-3.23282,1
6.9,130,1,-72.4751,1
7.1,55,1,-33.4181,1
8.5,30,1,-5.23181,1
7.5,80,1,-65.3277,1
7.2,130,1,-2.43509,1
8.2,30,1,-63.5093,1
7.2,33,1,-1.91793,1
7,27,1,-0.379435,1
7.8,160,1,-87.6837,1
7,70,1,-0.0865643,1
6.9,30,1,-511.295,1
8.2,60,1,-88.592,1
6.4,25,1,-8.4968,1
6.6,26,1,-0.560606,1
7,150,1,-10.658,1
7.5,33,1,-81.9698,1
5.5,15,1,-1.72636,1
6.8,150,1,-3.46671,1
7.6,45,1,-16.9251,1
7,70,1,-177.214,1
7.5,42,1,-7.61766,1
6.9,23,1,-45.6287,1
6.5,200,1,-62.1163,1
7.4,35,1,-18.4693,1
7.8,30,1,-106.18,1
6.7,30,1,-3.60299,1
7,35,1,-38.2396,1
6.9,13,1,-7.2278,1
6.8,33,1,-4.0462,1
7.6,40,1,-15.9931,1
7.9,5,1,-1.1533,1
7.3,23,1,-3.05826,1
7.9,33,1,-1.12244,1
7.8,23,1,-1.63162,1
7.8,21,1,-5.83165,1
7,70,1,-9.90167,1
8.7,30,1,-0.75595,1
5.4,52,1,-31.2882,1
5.8,130,1,-289.51,1
6.4,33,1,-11.4577,1
7.4,33,1,-36.7346,1
6.2,60,1,-1.17812,1
7.8,50,1,-17.9113,1
7.6,10,1,-20.8375,1
7.6,35,1,-6.66338,1
6.9,64,1,-4.04368,1
8.3,33,1,-3.08092,1
7,20,1,-6.13698,1
7.7,33,1,-0.654196,1
7.7,33,1,-75.5987,1
7.1,46,1,-5.17477,1
7.5,33,1,-11.4948,1
7.9,80,1,-68.561,1
7.5,65,1,-2.02211,1
7.5,60,1,-14.3551,1
7.5,5,1,-62.3712,1
7,138,1,-58.2372,1
7.8,18,1,-37.6073,1
7.7,35,1,-19.9213,1
7.5,50,1,-29.0528,1
7.4,20,1,-29.0528,1
7.3,36,1,-2.07861,1
7.4,23,1,-32.656,1
6.4,80,1,-88.1677,1
7.2,33,1,-76.8896,1
7,40,1,-50.5179,1
7.2,33,1,-56.0198,1
7.2,24,1,-36.2158,1
7.6,31,1,-8.38585,1
7.6,49,1,-34.2963,1
7.3,28,1,-16.5441,1
8,28,1,-15.9574,1
6.6,29,1,-30.77,1
7.5,43,1,-36.2997,1
5.4,53,1,-0.240818,1
4.4,26,1,-0.380482,1
8,33,1,-7.72175,1
7.9,54,1,-76.5069,1
8.1,33,1,-43.6883,1
7.2,33,1,-1.04911,1
7.8,34,1,-1.68125,1
8.6,33,1,-812.58,1
7.9,19,1,-1133.92,1
6.7,49,1,-13.8734,1
6.7,18,1,-20.6557,1
6.1,10,1,-0.90984,1
6.9,22,1,-0.252876,1
6,36,1,-7.90901,1
6.9,33,1,-37.5736,1
7.1,40,1,-0.449743,1
7.2,10,1,-828.885,1
7.8,20,1,-1.44951,1
6.9,19,1,-5.43243,1
6,29,1,-3.8602,1
5.1,15,1,-4.19618,1
6.4,29,1,-9.74001,1
6.7,33,1,-0.206988,1
7.1,42,1,-0.552795,1
6.9,13,1,-14.0231,1
5.4,29,1,-0.507286,1
5.3,100,1,-0.489556,1
6.9,18,1,-9.50025,1
7.7,35,1,-133.243,1
6.6,14,1,-72.406,1
7.2,15,1,-5.6941,1
6.4,3,1,-26.5113,1
7.6,13,1,-3.76753,1
7.5,60,1,-21.8771,1
6.9,10,1,-9.09374,1
6.5,44,1,-452.055,1
6.1,33,1,-5.0564,1
6.1,5,1,-11.1088,1
4.6,7,1,-13.7355,1
6.5,10,1,-48.2573,1
6.8,15,1,-24.5479,1
8.4,30,1,-16.2828,1
7.1,11,1,-27.832,1
7.7,14,1,-0.119586,1
7.8,33,1,-5.05323,1
7.5,35,1,-110.398,1
7.1,63,1,-39.2393,1
