MAGNITUDE,DEPTH,REGION,DISTANCE,TSUNAMI
4.4,30,0,59.6277,1
4.5,33,0,24.8598,1
4.6,7,1,-13.7355,1
5.1,7,0,2.90486,1
5.1,23,0,38.1504,1
5.3,11,0,15.4914,1
5.3,27,0,3.16809,1
5.3,33,0,12.6724,1
5.4,29,1,-0.507286,1
5.4,53,1,-0.240818,1
5.5,29,0,31.74,1
5.5,41,0,110.781,1
5.5,33,0,16.4373,1
5.7,39,0,56.3515,1
5.7,33,0,101.692,1
5.7,8,0,13.7352,1
5.7,33,0,19.4347,1
5.7,33,0,103.189,1
5.8,33,0,16.8147,1
5.8,12,0,12.6727,1
5.9,150,0,88.6107,1
5.9,26,0,70.4988,1
6,33,0,94.1797,1
6,27,0,16.9795,1
6,60,0,45.4248,1
6,29,1,-0.586128,1
6,21,0,13.1644,1
6,29,1,-3.8602,1
6,33,0,2.43812,1
6.1,30,0,31.9393,1
6.1,17,0,200.749,1
6.1,10,1,-0.90984,1
6.1,10,0,3.47946,1
6.1,20,0,11.3559,1
6.1,10,0,71.1595,1
6.1,10,0,4.92964,1
6.1,5,1,-11.1088,1
6.1,33,1,-5.0564,1
6.1,100,0,32.9618,1
6.2,16,0,23.3072,1
6.2,15,0,8.41475,1
6.2,10,0,203.622,1
6.2,5,0,20.9638,1
6.2,33,0,9.45916,1
6.3,33,0,63.3962,1
6.3,20,0,19.1225,1
6.3,40,0,79.6144,1
6.3,10,0,6.90626,1
6.3,11,0,9.76236,1
6.3,13,0,19.0841,1
6.3,14,0,21.768,1
6.3,11,0,26.7279,1
6.3,18,0,4.46321,1
6.4,20,0,184.289,1
6.4,20,0,98.6217,1
6.4,30,0,13.0684,1
6.4,10,0,151.249,1
6.4,22,0,15.3422,1
6.4,13,0,13.9654,1
6.4,14,0,9.18605,1
6.4,13,0,149.777,1
6.4,40,0,2.50309,1
6.4,10,0,5.79086,1
6.4,33,0,96.7646,1
6.4,33,1,-11.4577,1
6.4,29,1,-9.74001,1
6.4,10,0,13.974,1
6.4,33,0,83.4401,1
6.5,33,0,4.34108,1
6.5,16,0,54.2204,1
6.5,15,0,10.7455,1
6.5,20,0,107.543,1
6.5,40,0,25.5902,1
6.5,10,0,8.0644,1
6.5,41,0,44.3231,1
6.5,10,0,109.16,1
6.5,10,0,95.7137,1
6.5,10,0,18.3488,1
6.5,21,0,4.128,1
6.5,25,0,3.39683,1
6.5,24,0,76.2965,1
6.5,17,0,5.88961,1
6.5,10,1,-12.859,1
6.5,11,0,126.535,1
6.5,150,0,14.0749,1
6.5,33,0,2.13943,1
6.5,44,1,-452.055,1
6.6,20,0,33.5164,1
6.6,80,0,103.996,1
6.6,60,0,117.313,1
6.6,38,0,7.3127,1
6.6,6,0,13.1644,1
6.6,33,0,126.108,1
6.6,29,1,-30.77,1
6.6,26,0,11.9581,1
6.6,26,0,212.53,1
6.6,10,0,5.04503,1
6.6,10,0,113.569,1
6.6,28,0,161.496,1
6.6,10,0,17.4894,1
6.6,26,1,-0.560606,1
6.6,100,0,27.0185,1
6.6,33,0,12.1252,1
6.6,20,0,91.2283,1
6.6,35,0,7.16767,1
6.6,33,0,23.2987,1
6.7,10,0,164.899,1
6.7,20,0,141.464,1
6.7,30,0,55.8706,1
6.7,14,0,3.83442,1
6.7,2,0,7.38155,1
6.7,43,0,48.8535,1
6.7,33,0,136.536,1
6.7,33,1,-0.206988,1
6.7,48,0,63.7689,1
6.7,54,0,28.6747,1
6.7,20,0,249.975,1
6.7,20,1,-7.90884,1
6.7,22,0,3.29257,1
6.7,49,1,-13.8734,1
6.7,17,0,20.6378,1
6.7,19,0,33.9188,1
6.7,30,1,-3.60299,1
6.7,39,0,3.86515,1
6.7,8,0,12.6562,1
6.7,21,0,39.3607,1
6.7,20,0,29.7717,1
6.7,20,0,49.0483,1
6.7,23,0,76.7539,1
6.7,12,0,49.1643,1
6.7,12,0,59.0068,1
6.7,14,0,2.2374,1
6.7,48,0,24.8892,1
6.7,18,1,-20.6557,1
6.8,40,0,18.0321,1
6.8,33,0,32.9623,1
6.8,17,0,21.9131,1
6.8,40,0,100.519,1
6.8,40,0,133.409,1
